"Farm" "Sex" "Length" "Ecervi" "infect"
"MB" 1 172 22.43 1
"MB" 1 172 3.8 1
"MB" 1 171 1.17 1
"MB" 1 168 31.32 1
"MB" 1 153 61.9 1
"MO" 2 191 2.43 1
"MO" 2 181 4.48 1
"MO" 2 178 10.92 1
"MO" 2 178 1.13 1
"MO" 2 174 0 0
"MO" 2 173 0 0
"MO" 2 173 0 0
"MO" 2 173 0 0
"MO" 2 171 12.5 1
"MO" 2 171 4.024 1
"MO" 2 171 0 0
"MO" 2 171 0 0
"MO" 2 170.5 3.98 1
"MO" 2 170 0 0
"MO" 2 170 0 0
"MO" 2 170 0 0
"MO" 2 169 1.18 1
"MO" 2 169 0 0
"MO" 2 168 22.2 1
"MO" 2 168 15.8 1
"MO" 2 168 7.49 1
"MO" 2 168 0 0
"MO" 2 168 0 0
"MO" 2 167 67.83 1
"MO" 2 167 14.42 1
"MO" 2 167 1.98 1
"MO" 2 167 0 0
"MO" 2 167 0 0
"MO" 2 166.5 0 0
"MO" 2 166 10.34 1
"MO" 2 166 0 0
"MO" 2 166 0 0
"MO" 2 165 66.94 1
"MO" 2 165 38.8 1
"MO" 2 165 14.17 1
"MO" 2 165 1 1
"MO" 2 165 0 0
"MO" 2 165 0 0
"MO" 2 164 8.22 1
"MO" 2 164 0 0
"MO" 2 163 16.5 1
"MO" 2 163 14.91 1
"MO" 2 163 3.06 1
"MO" 2 163 0 0
"MO" 2 162 28.2 1
"MO" 2 162 0 0
"MO" 2 162 0 0
"MO" 2 162 0 0
"MO" 2 162 0 0
"MO" 2 162 0 0
"MO" 2 161 12.95 1
"MO" 2 161 0 0
"MO" 2 160.5 0.92 1
"MO" 2 160 0 0
"MO" 2 159.5 0 0
"MO" 2 159 72.54 1
"MO" 2 159 10.47 1
"MO" 2 159 9.47 1
"MO" 2 159 8 1
"MO" 2 159 3.59 1
"MO" 2 159 0 0
"MO" 2 158.5 4.4 1
"MO" 2 158.5 0 0
"MO" 2 158 23.16 1
"MO" 2 158 5.87 1
"MO" 2 158 0 0
"MO" 2 158 0 0
"MO" 2 158 0 0
"MO" 2 158 0 0
"MO" 2 158 0 0
"MO" 2 158 0 0
"MO" 2 157.2 30.78 1
"MO" 2 157 33.24 1
"MO" 2 157 24.5 1
"MO" 2 157 0 0
"MO" 2 156.5 7.9 1
"MO" 2 156 0 0
"MO" 2 155 0 0
"MO" 2 155 0 0
"MO" 2 153 16.24 1
"MO" 2 153 0 0
"MO" 2 153 0 0
"MO" 2 152 350.1 1
"MO" 2 152 20 1
"MO" 2 152 3.36 1
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 152 0 0
"MO" 2 151 0 0
"MO" 2 151 0 0
"MO" 2 150.5 0 0
"MO" 2 150 43.3 1
"MO" 2 150 0 0
"MO" 2 150 0 0
"MO" 2 149 0 0
"MO" 2 148 13.6 1
"MO" 2 148 0 0
"MO" 2 148 0 0
"MO" 2 147 15.04 1
"MO" 2 147 0 0
"MO" 2 147 0 0
"MO" 2 145 0 0
"MO" 2 143 0 0
"MO" 2 143 0 0
"MO" 2 141.5 0 0
"MO" 2 139 0 0
"MO" 2 138 0 0
"MO" 2 136 0 0
"MO" 2 135 0 0
"MO" 2 135 0 0
"MO" 2 132 0 0
"MO" 2 132 0 0
"MO" 2 131 8.63 1
"MO" 2 131 0 0
"MO" 2 127 0 0
"MO" 2 125 0 0
"MO" 2 124 0 0
"MO" 2 121 0 0
"MO" 2 116 0 0
"MO" 2 91.6 0 0
"MO" 2 85 0 0
"MO" 1 214 0 0
"MO" 1 209 0 0
"MO" 1 208 107.6 1
"MO" 1 205 17.7 1
"MO" 1 202 4.52 1
"MO" 1 202 0 0
"MO" 1 201 1.13 1
"MO" 1 200 44.59 1
"MO" 1 199 17.51 1
"MO" 1 198 7.28 1
"MO" 1 198 7.1 1
"MO" 1 197 91.44 1
"MO" 1 197 42.4 1
"MO" 1 197 37.23 1
"MO" 1 197 6.1 1
"MO" 1 197 0 0
"MO" 1 196 7.66 1
"MO" 1 196 1.09 1
"MO" 1 195 0 0
"MO" 1 194 1.7 1
"MO" 1 191 0 0
"MO" 1 188.5 28.19 1
"MO" 1 188 0 0
"MO" 1 187 26.37 1
"MO" 1 187 21.89 1
"MO" 1 187 0 0
"MO" 1 186 12.33 1
"MO" 1 186 1.97 1
"MO" 1 185 0 0
"MO" 1 184 0 0
"MO" 1 183 0 0
"MO" 1 182 17.3 1
"MO" 1 182 5.82 1
"MO" 1 182 0 0
"MO" 1 179 1.21 1
"MO" 1 178 5.92 1
"MO" 1 177 0 0
"MO" 1 176 2.15 1
"MO" 1 174 16.12 1
"MO" 1 174 1.19 1
"MO" 1 174 0 0
"MO" 1 174 0 0
"MO" 1 172 143 1
"MO" 1 171 0 0
"MO" 1 171 0 0
"MO" 1 170 16.5 1
"MO" 1 170 0 0
"MO" 1 170 0 0
"MO" 1 168 14 1
"MO" 1 167 0 0
"MO" 1 164 0 0
"MO" 1 164 0 0
"MO" 1 163 0 0
"MO" 1 162 15.92 1
"MO" 1 160 0 0
"MO" 1 158 130.4 1
"MO" 1 158 24.52 1
"MO" 1 158 0 0
"MO" 1 155 0 0
"MO" 1 155 0 0
"MO" 1 152 0 0
"MO" 1 152 0 0
"MO" 1 149 0 0
"MO" 1 148 7.35 1
"MO" 1 148 0 0
"MO" 1 147 0 0
"MO" 1 145 0 0
"MO" 1 144 0 0
"MO" 1 142.3 0 0
"MO" 1 142 1.14 1
"MO" 1 142 0 0
"MO" 1 139 0 0
"MO" 1 138 0 0
"MO" 1 137 0 0
"MO" 1 136 0 0
"MO" 1 136 0 0
"MO" 1 136 0 0
"MO" 1 132 2.17 1
"MO" 1 132 0 0
"MO" 1 130 0 0
"MO" 1 126 0 0
"MO" 1 126 0 0
"MO" 1 75 0 0
"NC" 2 166 3.324 1
"NC" 2 164 1.1634 1
"NC" 2 159 0 0
"NC" 2 158 2.22708 1
"NC" 2 153 0 0
"NC" 2 153 0 0
"NC" 2 150 0 0
"NC" 2 143 19.944 1
"NC" 2 143 0 0
"NC" 1 190.5 3.56 1
"NC" 1 187.5 0 0
"NC" 1 182 0 0
"NC" 1 178.6 8 1
"NC" 1 177 0 0
"NC" 1 177 0 0
"NC" 1 175 0 0
"NC" 1 174 0 0
"NC" 1 173 1.24 1
"NC" 1 172 32.53 1
"NC" 1 172 0 0
"NC" 1 171 1.23 1
"NC" 1 170 10.17 1
"NC" 1 169.4 5.89 1
"NC" 1 168.2 0 0
"NC" 1 168 0 0
"NC" 1 163 7.25 1
"NC" 1 160 3.37 1
"NV" 2 169 19.44 1
"NV" 2 166 9.72 1
"NV" 2 165 3.24 1
"NV" 2 164 68.04 1
"NV" 2 162.5 0 0
"NV" 2 159 6.48 1
"NV" 2 158 0 0
"NV" 2 154 0 0
"NV" 2 153 6.48 1
"NV" 2 152 0 0
"NV" 2 151 0 0
"NV" 2 150.5 0 0
"NV" 2 149 35.64 1
"NV" 2 148.7 32.4 1
"NV" 2 148 3.24 1
"NV" 2 147 0 0
"NV" 2 147 0 0
"NV" 2 138 6.48 1
"NV" 2 137.8 2.43 1
"NV" 2 132 0 0
"PN" 2 173.5 3.53 1
"PN" 2 168.1 7.48 1
"PN" 2 165.5 7.04 1
"PN" 2 165 1.1 1
"PN" 2 163 12.56 1
"PN" 2 161 37.7 1
"PN" 2 160 15 1
"PN" 2 155 3.41 1
"PN" 2 152.8 75.04 1
"PN" 2 152 13.55 1
"PN" 2 149.8 19.88 1
"PN" 2 149.6 7.75 1
"PN" 2 149 11.59 1
"PN" 2 148 14.94 1
"PN" 2 146.7 0 0
"PN" 2 130 0 0
"PN" 2 126 0 0
"PN" 1 184 32.9 1
"PN" 1 184 23 1
"PN" 1 183 44.7 1
"PN" 1 179 39.5 1
"PN" 1 178 5.7 1
"PN" 1 178 1 1
"PN" 1 177 21.8 1
"PN" 1 176 51.8 1
"PN" 1 176 8.5 1
"PN" 1 175 40.5 1
"PN" 1 175 7.2 1
"PN" 1 173 190.43 1
"PN" 1 172 86.3 1
"PN" 1 172 32.8 1
"PN" 1 171 145 1
"PN" 1 169 25.8 1
"PN" 1 166 28.2 1
"PN" 1 166 13.55 1
"PN" 1 166 6.7 1
"PN" 1 162 9.8 1
"QM" 2 168 39.93 1
"QM" 2 165 22.23 1
"QM" 2 165 0 0
"QM" 2 162 105.45 1
"QM" 2 162 28.12 1
"QM" 2 161 12.31 1
"QM" 2 160 0 0
"QM" 2 158.6 1.7 1
"QM" 2 157.5 94.2 1
"QM" 2 157 27.75 1
"QM" 2 157 22.04 1
"QM" 2 157 17.49 1
"QM" 2 155 15.54 1
"QM" 2 154 73.73 1
"QM" 2 154 32.54 1
"QM" 2 153 68.68 1
"QM" 2 152 108.42 1
"QM" 2 152 67.47 1
"QM" 2 151 8.83 1
"QM" 2 149.7 17.78 1
"QM" 2 149.5 89.74 1
"QM" 2 144 0 0
"QM" 2 143 678.13 1
"QM" 2 137 29.64 1
"QM" 2 136 0 0
"QM" 2 135 0 0
"QM" 2 131 0 0
"QM" 2 129 169.88 1
"QM" 2 117 170.2 1
"QM" 2 115 0 0
"QM" 2 114 13.44 1
"QM" 2 108 2.4 1
"QM" 2 106 0 0
"QM" 1 179 123.7 1
"QM" 1 177 43.7 1
"QM" 1 175.5 0 0
"QM" 1 175 60.39 1
"QM" 1 173.5 33.33 1
"QM" 1 168.5 179 1
"QM" 1 162 6.023 1
"QM" 1 161.5 209.11 1
"QM" 1 160 466.5 1
"QM" 1 160 124.44 1
"QM" 1 160 67.8 1
"QM" 1 157 5.8 1
"QM" 1 157 0 0
"QM" 1 155.5 51.33 1
"QM" 1 152.5 53.61 1
"QM" 1 148 192.34 1
"QM" 1 148 24.38 1
"QM" 1 145 0 0
"QM" 1 144.5 72.51 1
"QM" 1 144.2 645.23 1
"QM" 1 143 1055.7 1
"QM" 1 142.1 26.98 1
"QM" 1 138 92.37 1
"QM" 1 130 263 1
"QM" 1 120 6.35 1
"QM" 1 120 5 1
"QM" 1 112 0 0
"RF" 2 163 6.7 1
"RF" 2 163 4.79 1
"RF" 2 162.4 13.51 1
"RF" 2 157 5.93 1
"RF" 2 150 91.7 1
"RF" 2 141 32.9 1
"RF" 2 118 0 0
"RF" 2 114 0 0
"RF" 1 181 29.916 1
"RF" 1 180 13.296 1
"RF" 1 177 1442 1
"RF" 1 177 141.7686 1
"RF" 1 174 113.016 1
"RF" 1 172 160.7154 1
"RF" 1 170 8.8086 1
"RF" 1 168.5 109.2 1
"RF" 1 160 98.07 1
"RF" 1 160 2.33 1
"RF" 1 155 255.948 1
"RF" 1 155 12.1326 1
"RN" 2 164.3 0 0
"RN" 2 163 11.85 1
"RN" 2 151 0 0
"RN" 2 150 0 0
"RN" 2 137 0 0
"RN" 2 128 0 0
"RN" 2 122 0 0
"RN" 1 191 0 0
"RN" 1 189 11.9 1
"RN" 1 178 0 0
"RN" 1 176 26.9 1
"RN" 1 174 0 0
"RN" 1 174 0 0
"RN" 1 173 0.8 1
"RN" 1 172 0 0
"RN" 1 169 1.2 1
"RN" 1 169 0 0
"RN" 1 166 0 0
"RN" 1 160 32.9 1
"RN" 1 159 40.4 1
"RN" 1 143 0 0
"RN" 1 134 0 0
"RN" 1 131 0 0
"RO" 2 170 0 0
"RO" 2 157.5 2.5 1
"RO" 2 156 2.5 1
"RO" 2 151 8.75 1
"RO" 2 144.9 15 1
"RO" 2 144 39 1
"RO" 2 137.9 6.25 1
"RO" 2 131 25 1
"RO" 1 186 12.1 1
"RO" 1 182 71.1 1
"RO" 1 179 160.6 1
"RO" 1 178 556.3 1
"RO" 1 177 434.02 1
"RO" 1 177 45 1
"RO" 1 175 11.6 1
"RO" 1 174 221.3 1
"RO" 1 174 114.8 1
"RO" 1 172.5 8.75 1
"RO" 1 172 13.7 1
"RO" 1 171 29.4 1
"RO" 1 169 63.7 1
"RO" 1 168 110.4 1
"RO" 1 163 2186.6 1
"RO" 1 163 242.5 1
"RO" 1 162 108.1 1
"RO" 1 161 35 1
"RO" 1 160 10 1
"RO" 1 159 8.75 1
"RO" 1 158 77.7 1
"RO" 1 126.4 0 0
"SAU" 1 185.5 0 0
"SAU" 1 182 0 0
"SAU" 1 166 0 0
"SE" 2 175 260.2 1
"SE" 2 172 47.94 1
"SE" 2 167 96.53 1
"SE" 2 163.5 121.41 1
"SE" 2 162.5 84.11 1
"SE" 2 161 40.669 1
"SE" 2 159 0 0
"SE" 2 157.5 19.66 1
"SE" 2 151.5 152.67 1
"SE" 2 146.5 48.94 1
"SE" 2 105.5 0 0
"SE" 1 194 110.08 1
"SE" 1 191 0 0
"SE" 1 190 40 1
"SE" 1 189 48.84 1
"SE" 1 188 57.48 1
"SE" 1 181 0.837 1
"SE" 1 180 2.2 1
"SE" 1 179 11.86 1
"SE" 1 178 39.55 1
"SE" 1 177 19.07 1
"SE" 1 176 0 0
"SE" 1 174 81.31 1
"SE" 1 174 6.77 1
"SE" 1 121.5 0 0
"SE" 1 117 0 0
"TI" 1 200 7 1
"TI" 1 192 3.6 1
"TI" 1 188 4.5 1
"TI" 1 187 65.1 1
"TI" 1 185 22.7 1
"TI" 1 184 14.5 1
"TI" 1 184 14 1
"TI" 1 184 10.1 1
"TI" 1 183 0 0
"TI" 1 182 49.2 1
"TI" 1 182 17.5 1
"TI" 1 179 12.3 1
"TI" 1 179 8 1
"TI" 1 179 6.8 1
"TI" 1 178 22.9 1
"TI" 1 175 31.3 1
"TI" 1 175 17.6 1
"TI" 1 172 6.5 1
"TI" 1 170 0.8 1
"TN" 2 165 1.76 1
"TN" 2 163 4.62 1
"TN" 2 161 5.96 1
"TN" 2 160 86.2326 1
"TN" 2 160 12.96 1
"TN" 2 157 8.1 1
"TN" 2 151 16.2 1
"TN" 2 149 53.9946 1
"TN" 2 149 0 0
"TN" 2 148 109.1718 1
"TN" 2 148 9.72 1
"TN" 2 146.5 38.88 1
"TN" 2 146 16.2 1
"TN" 2 138 29.16 1
"TN" 2 135 0 0
"TN" 2 124 0 0
"TN" 1 179 84.24 1
"TN" 1 176 3.39 1
"TN" 1 173 0 0
"TN" 1 158 1.91 1
"TN" 1 155 87.48 1
"TN" 1 154.5 0 0
"TN" 1 145 0 0
"TN" 1 144.9 84.24 1
"TN" 1 125 0 0
"VISO" 1 174.5 250.9 1
"VISO" 1 167 1.4 1
"VISO" 1 167 0 0
"VISO" 1 166.5 495 1
"VISO" 1 166.1 18.6 1
"VISO" 1 165 96.6 1
"VISO" 1 164.7 24.1 1
"VISO" 1 161 58.3 1
"VISO" 1 160 38.6 1
"VISO" 1 158 0 0
"VISO" 1 157 4.9 1
"VISO" 1 149 7.99 1
"VISO" 1 114.3 21.7 1
"VY" 2 165 36.46 1
"VY" 2 151 11.28 1
"VY" 2 146 9.57 1
"VY" 1 166 364 1
"VY" 1 148 0 0
"VY" 1 143 20.12 1
"VY" 1 140 6.24 1
